ID,sex,school,country,sleep,suite_pref,cleanliness,alcohol,siblings,gender_pref
FY1,M,S124,Singapore,3,3,2,No,No,Male Only
FY2,M,S46,Singapore,2,3,2,No,No,No Preference
FY3,F,S84,Singapore,3,2,2,No,No,Female Only
FY4,F,S44,Singapore,2,2,2,No,No,No Preference
FY6,F,S74,Mongolia,3,2,2,No,No,No Preference
FY7,F,S77,Tunisia,1,2,2,Yes,No,Female Only
FY8,F,S2,India,3,2,2,Yes,No,Female Only
FY10,M,S126,New Zealand,2,3,2,No,No,Male Only
FY12,F,S84,Singapore,3,3,1,No,No,Female Only
FY13,F,S78,Singapore,2,2,2,No,No,Female Only
FY14,F,S97,Singapore,2,3,1,No,No,Female Only
FY15,M,S84,Singapore,1,2,2,No,No,Male Only
FY16,F,S84,Singapore,3,3,2,No,No,Female Only
FY17,M,S1,Romania,2,2,2,No,No,No Preference
FY18,F,S106,Singapore,3,2,2,Yes,No,Female Only
FY19,F,S103,Taiwan,2,3,2,No,No,Female Only
FY20,F,S109,Singapore,3,4,2,No,No,No Preference
FY21,M,S86,Uzbekistan,2,2,2,No,Yes,Male Only
FY22,F,S4,Kazakhstan,2,2,2,No,No,No Preference
FY23,F,S49,Saudi Arabia,3,2,3,No,Yes,Female Only
FY25,M,S78,Singapore,2,2,2,No,No,No Preference
FY26,M,S35,Singapore,3,3,2,No,No,No Preference
FY28,F,S116,United States,1,2,2,No,No,No Preference
FY29,F,S118,Singapore,2,3,1,Yes,No,Female Only
FY30,M,S66,Singapore,2,2,2,No,No,Male Only
FY31,F,S70,Singapore,1,2,1,Yes,No,Female Only
FY32,F,S92,China,2,2,2,Yes,No,Female Only
FY33,M,S21,Singapore,3,3,2,No,No,Male Only
FY34,F,S45,Philippines,3,2,2,Yes,No,Female Only
FY35,F,S44,Singapore,2,3,2,Yes,No,Female Only
FY36,F,S104,Taiwan,1,2,2,Yes,No,Female Only
FY37,M,S9,Singapore,2,1,1,No,No,Male Only
FY38,F,S10,Singapore,3,2,1,No,No,Female Only
FY39,M,S10,Singapore,2,3,2,No,No,Male Only
FY42,M,S9,Singapore,3,2,2,No,No,No Preference
FY44,F,S35,Singapore,2,3,3,Yes,No,Female Only
FY45,F,S78,Singapore,2,2,2,No,No,Female Only
FY46,F,S10,Singapore,2,2,1,Yes,No,Female Only
FY47,F,S7,Guatemala,2,2,2,No,No,Female Only
FY48,F,S128,Singapore,3,2,2,No,No,Female Only
FY49,F,S91,China,2,1,2,Yes,No,Female Only
FY50,M,S6,Singapore,2,2,1,No,No,Male Only
FY52,F,S70,Singapore,3,3,1,No,No,Female Only
FY53,M,S124,Singapore,1,1,2,Yes,No,No Preference
FY54,M,S94,Singapore,2,2,2,Yes,No,No Preference
FY55,F,S98,Indonesia,2,2,1,Yes,No,No Preference
FY56,F,S52,Jordan,2,2,1,Yes,No,Female Only
FY57,M,S82,Singapore,2,3,1,No,No,No Preference
FY58,M,S10,Singapore,1,2,2,No,No,No Preference
FY60,M,S102,Malaysia,1,1,1,Yes,No,Male Only
FY61,F,S83,Dominican Republic,2,3,2,No,No,Female Only
FY62,M,S124,Singapore,3,3,3,No,No,Male Only
FY63,F,S35,Singapore,1,3,2,Yes,No,Female Only
FY65,M,S68,Singapore,2,2,2,No,No,No Preference
FY66,F,S110,Singapore,2,3,2,No,No,Female Only
FY67,M,S127,Philippines,2,2,2,No,No,No Preference
FY69,F,S26,Colombia,2,3,2,No,No,Female Only
FY70,M,S51,Lithuania,2,2,1,No,No,No Preference
FY71,M,S42,South Korea,3,2,2,Yes,No,Male Only
FY73,F,S89,Japan,2,4,2,No,No,Female Only
FY74,F,S70,Singapore,3,4,2,No,No,Female Only
FY75,M,S16,Myanmar,2,2,2,Yes,No,No Preference
FY76,F,S94,Singapore,3,2,1,No,No,Female Only
FY77,F,S5,United Arab Emirates,1,2,2,No,No,No Preference
FY79,M,S33,India,3,1,2,No,No,No Preference
FY80,M,S24,China,2,3,1,No,No,Male Only
FY81,M,S44,Singapore,3,3,2,No,No,No Preference
FY82,M,S44,Singapore,3,2,2,No,No,No Preference
FY83,F,S22,Singapore,2,2,1,No,No,Female Only
FY84,M,S53,South Korea,2,2,2,Yes,No,Male Only
FY85,M,S78,Singapore,3,2,2,No,No,No Preference
FY86,M,S29,Singapore,2,2,1,No,No,No Preference
FY88,M,S10,Singapore,1,2,2,No,No,No Preference
FY89,M,S124,Singapore,2,3,2,Yes,No,No Preference
FY90,F,S125,New Zealand,2,2,2,No,No,No Preference
FY91,F,S75,Singapore,2,3,1,No,No,Female Only
FY92,F,S10,Singapore,2,2,1,No,No,No Preference
FY94,M,S113,Pakistan,3,3,2,Yes,No,No Preference
FY95,M,S44,Singapore,2,2,1,No,No,No Preference
FY96,F,S78,Singapore,2,3,2,No,No,Female Only
FY97,M,S68,Singapore,2,2,1,No,No,Male Only
