Identifier # (Ascending Sort Full Name Batch 1),Sex,Address Country,"1. *On a typical weekday, what time do you expec",2. *Which description best reflects your expecta,3. *Which description best reflects your expecta,4. *Are you interested in living in an alcohol f,5a *Do you have a sibling who attends Yale-NUS?,"5b. If yes, would you want to be in the same res",6. *Please state your suite gender preference:
Student 1,M,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 2,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 3,M,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 4,F,Mongolia,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 5,F,Tunisia,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 6,F,India,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 7,M,Indonesia,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Gender Neutral
Student 8,M,New Zealand,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 9,M,India,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 10,F,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Female Only
